,b5,reorganize,Сортировка,
,b6,Scratch,Поцарапать,
,b7,done,Готово,
,b7back,back,Назад,"""Go back to the previous menu"" WARNING: AUTO-TRANSLATION #####################################################"
,b8,Go adventuring!,В приключение!,
,b9,cancel,Отмена,
,b10,Test,Тест, WARNING: AUTO-TRANSLATION #####################################################
,b11,Run,Запустить, WARNING: AUTO-TRANSLATION #####################################################
,b12,Autorun: on,Автозапуск: включен, WARNING: AUTO-TRANSLATION #####################################################
,b13,Autorun: off,Автозапуск: выключен, WARNING: AUTO-TRANSLATION #####################################################
,bd1,Scratch the enemy for 3 damage. Costs 1 Energy,Поцарапать пртивника причиняя 3 урона. Требует 1 энергию,
,bd2,Reorganize your inventory in battle. Costs 3 energy,Сортировать мешок в бою. Требует 3 энергии,
,bd3,Test your core,Проверьте свое ядро, WARNING: AUTO-TRANSLATION #####################################################
,bd4,Run your core - ends your turn,Запустить свое ядро ​​​​- завершить свой ход, WARNING: AUTO-TRANSLATION #####################################################
,bd5,"When autorun is enabled, you will automatically use your core at the start of each turn","Когда автозапуск включен, вы будете автоматически использовать свое ядро ​​в начале каждого хода.", WARNING: AUTO-TRANSLATION #####################################################
hud,h1,floor,этаж,
,h2,experience,опыт,
,h3,max level,максимальный уровень,
,h4,level,уровень, WARNING: AUTO-TRANSLATION #####################################################
status effects,se1,Poison,Яд,
,se1d,Will take /x damage at the end of turn,Получит /x урона в конце хода, WARNING: ENGLISH TEXT CHANGED #####################################################
,se2,Regen,Регенерация,
,se2d,Will recover  /x health at start of turn,Восстановит /x HP в начале хода,
,se3,Spikes,Шипы,
,se3d,Will deal /x damage if attacked,Нанесет /x урона в отместку,
,se4,Haste,Ловкость,
,se4d,Will add /x additional block when blocking,Добавит /x дополнительный защиты при начисление защиты,
,se5,Slow,Замедление,
,se5d,Will reduce block by /x when blocking,Уменьшает защиту на /x при начисление защиты,
,se6,Rage,Ярость,
,se6d,Will add /x damage when attacking,Добавит /x урона ао время атаки, WARNING: ENGLISH TEXT CHANGED #####################################################
,se7,Weak,Слабость,
,se7d,Will reduce /x damage when attacking,Уменьшит на /x урона во время атаки, WARNING: ENGLISH TEXT CHANGED #####################################################
,se8,Dodge,Уклонение,
,se8d,The next /x attacks will do no damage,Следующие /x атаки не нанесут урона,
,se9,Frozen,Замерзание,
,se9d,/Will take no action for /x turns,Не будет принимать действий за /x ходов,
,se10,Burn,Ожог,
,se10d,Will take /x damage at start of turn. This can be blocked,Причиняет /x урона в начале хода. Уменьшается защитой,
,se11,Tough Hide,Жесткая шкура, WARNING: AUTO-TRANSLATION #####################################################
,se11d,Damage from projectiles is reduced by /x%,Урон от снарядов уменьшен на /x%, WARNING: AUTO-TRANSLATION #####################################################
Card Descriptors,Energy,Energy,Энергия, WARNING: AUTO-TRANSLATION #####################################################
,Energyd,Energy is a resource you gain each turn. You need to end your turn to get more,"Энергия — это ресурс, который вы получаете каждый ход. Вам нужно закончить свой ход, чтобы получить больше", WARNING: AUTO-TRANSLATION #####################################################
,Enemy,Enemy,Враг, WARNING: AUTO-TRANSLATION #####################################################
,Enemyd,The currently selected enemy. You can target any enemy,Текущий выбранный враг. Вы можете нацелиться на любого врага, WARNING: AUTO-TRANSLATION #####################################################
,all enemies,all enemies,все враги, WARNING: AUTO-TRANSLATION #####################################################
,all enemiesd,All the current enemies - regardless of your target,Все текущие враги — вне зависимости от вашей цели, WARNING: AUTO-TRANSLATION #####################################################
,Damage,Damage,Урон, WARNING: AUTO-TRANSLATION #####################################################
,Block,Block,Защита, WARNING: AUTO-TRANSLATION #####################################################
,Blockd,"When hit, most attacks decrease block instead of HP. Block resets each turn",При попадании большинство атак снимает защиту вместо здоровья. Защита сбрасывается каждый ход, WARNING: AUTO-TRANSLATION #####################################################
,HP,HP,Здоровье, WARNING: AUTO-TRANSLATION #####################################################
,HPd,"If HP is 0, you will die","Если здоровье равно 0, вы умрете.", WARNING: AUTO-TRANSLATION #####################################################
,Luck,Luck,Удача, WARNING: AUTO-TRANSLATION #####################################################
,Luckd,Luck increases your chances of finding rare items. It stacks!,Удача увеличивает ваши шансы найти редкие предметы. Она складывается!, WARNING: AUTO-TRANSLATION #####################################################
,discarded,discarded,Сброшенно, WARNING: AUTO-TRANSLATION #####################################################
,discardedd,Discarded carvings can be drawn again later this combat,Сброшенную Резьбу можно снова нарисовать позже в этом бою., WARNING: AUTO-TRANSLATION #####################################################
,Banished,Banished,Изгнанно, WARNING: AUTO-TRANSLATION #####################################################
,Banishedd,Banished carvings are removed for the rest of this combat,Изгнанная Резьба удаляется до конца этого боя., WARNING: AUTO-TRANSLATION #####################################################
,Disabled,Disabled,Выключенный, WARNING: AUTO-TRANSLATION #####################################################
,Disabledd,Items have no effects while disabled,"Предметы не имеют эффектов, пока выключенны", WARNING: AUTO-TRANSLATION #####################################################
,Mana,Mana,Мана, WARNING: AUTO-TRANSLATION #####################################################
,Manad,Mana can be used in some items instead of energy. To use mana the item must be adjacent to a manastone or connected through conductive items,"Вместо энергии в некоторых предметах можно использовать ману. Чтобы использовать ману, предмет должен быть рядом с манакамнем или соединен через проводящие предметы.", WARNING: AUTO-TRANSLATION #####################################################
Store,Cost,Cost,Цена,
,onSale,On Sale,На Распродаже,
Rarities,common,common,обычный,
,uncommon,uncommon,необычное,
,rare,rare,редкий,
,legendary,legendary,легендарный,
Types,weapon,Weapon,Оружие,
,Armor,Armor,Броня,
,Shield,Shield,Щит,
,Accessory,Accessory,Аксессуар,
,Bow,Bow,Лук,
,Arrow,Arrow,Стрела,
,Consumable,Consumable,Расходное,
,Gold,Gold,Золото,
,Manastone,Manastone,Мана-камень,
,Key,Key,Ключ,
,Curse,Curse,Проклятие,
,Ingredient,Ingredient,Ингредиент,
,Wand,Wand,Палочка,
,Book,Book,Книга,
,Cleaver,Cleaver,Тесак,
,Clothing,Clothing,Одежда,
,Helmet,Helmet,Шлем,
,Footwear,Footwear,Обувь,
,Fish,Fish,Рыба,
,Relic,Relic,Реликвия,
,Glove,Glove,Перчатка,
,Magic,Magic,Магия,
,Gem,Gem,Cамоцвет,
,Structure,Structure,Cтроение,
,Ring,Ring,Кольцо,
,Rune,Rune,Рун,
,Carving,Carving,Резьба, WARNING: AUTO-TRANSLATION #####################################################
,Component,Component,Компонент, WARNING: AUTO-TRANSLATION #####################################################
,Potion,Potion,Зелье, WARNING: AUTO-TRANSLATION #####################################################
Limits,ul,use,заряд,
,ulp,uses,заряды,
,ul1,1 use,1 заряд,
,ul2,/x uses,/x заряды,
,ul3,Can be used 1 time each turn,Может быть использован 1 раз каждый ходом,
,ul4,Can be used /x times each turn,Может быть использован /x раз каждый ходом,
,ul5,Can be used 1 time this turn,Может быть использован 1 раз в этот ход,
,ul6,Can be used /x times this turn,Может быть использован /x раз в этот ход,
,ul7,Can be used 1 time each combat,Может быть использован 1 раз каждое сражение,
,ul8,Can be used /x times each combat,Может быть использован /x раз каждое сражение,
,ul9,Can be used 1 time this combat,Может быть использован 1 раз за это сражение,
,ul10,Can be used /x times this combat,Может быть использован /x раз за это сражение,
,t1,On use,При использование,
,t1c,On Summon,При вызове, WARNING: AUTO-TRANSLATION #####################################################
triggers,t2,When destroyed,При уничтожении,
,t3,When added,При добавлении,
,t4,When removed,Когда удаляется,
,t5,Each turn,Каждый ход,
,t6,When your turn ends,В конце твоего хода,
,t7,Each combat,Каждый бой,
,t8,When combat ends,В конце боя,
,t9,On kill,При убийстве,
,t10,On kill (non summon),При убийстве (не призванное существо),
,t11,When rotated,При повороте,
,t12,When out of uses,Когда закончились заряды,
,t13,When used,При использовании,
,t14,When selected,Когда выбран,
,t15,On take damage,При получении урона,
,t15b,When attacked,Когда атакован, WARNING: AUTO-TRANSLATION #####################################################
,t16,When this moves,Когда это двигается,
,t17,When this finishes moving,Когда это заканчивает движение,
,t18,When moved in combat,Когда подвинулось в битве,
,t19,On Scratch,Когда используется Поцарапать,
,t20,For each empty space [to the right],За каждую пустую ячейку [справа],
,t21,For each empty space [below],За каждую пустую ячейку [снизу],
,t22,For each empty space [to the left],За каждую пустую ячейку [слева],
,t23,For each empty space [above],За каждую пустую ячейку [сверху],
,t24,For each adjacent structure,За каждую соседнюю структуру,
,t25,For each adjacent or diagonal structure,За каждую соседнюю или диагональную структуру,
,t26,When armor or a shield is present,Если есть Броня или Щит,
,t26b,For each armor or shield,За каждую броню или щит, WARNING: AUTO-TRANSLATION #####################################################
,t27,For each space below,За каждую ячейку снизу,
,t28,When an item in this column is destroyed,Когда вещь в данной колонке уничтожена,
,t29,When an adjacent item is destroyed,Когда соседняя вещь уничтожена,
,t29b,When an adjacent or diagonal item is destroyed,Когда соседняя илидиагональная вещь уничтожена,
,t30,For each space above this,За каждую ячейку сверху,
,t30b,"If this is not in the top row,",Если эта вещь не в верхнем ряду,
,t31,When an adjacent weapon is used,Когда соседнее оружие использованно,
,t32,If there is an item two spaces away,Если есть вещь в двух клетках от этой вещи,
,t33,For each adjacent or diagonal Curse,За каждое соседнее или диагональное Проклятье,
,t33b,For each adjacent Curse,За каждое соседнее Проклятие, WARNING: AUTO-TRANSLATION #####################################################
,t34,When a Wand kills an enemy,Когда Палочка убивает врага,
,t35,If there is an adjacent weapon,Если есть соседнее оружие,
,t36,For each connected Manastone,За каждый соедененный Мана-камень,
,t37,For each adjacent curse,За каждое соседнее проклятье,
,t38,For each adjacent or diagonal Fish,За каждую соседнюю или диагональную Рыбу,
,t39,When an arrow (to the right) kills a non-summon enemy,Когда стрела (справа) убивает не призванного врага,
,t40,When an arrow (below) kills a non-summon enemy,Когда стрела (снизу) убивает не призванного врага,
,t41,When an arrow (to the left) kills a non-summon enemy,Когда стрела (слева) убивает не призванного врага,
,t42,When an arrow (above) kills a non-summon enemy,Когда стрела (сверху) убивает не призванного врага,
,t43,When an arrow [to the right] kills an enemy,Когда стрела [справа] убивает врага,
,t44,When an arrow [below] kills an enemy,Когда стрела [снизу] убивает врага,
,t45,When an arrow [to the left] kills an enemy,Когда стрела [слева] убивает врага,
,t46,When an arrow [above] kills an enemy,Когда стрела [сверху] убивает врага,
,t47,If there is a space above this,Если есть ячейка сверху,
,t48,For each adjacent or diagonal key,За каждый соседний или диагональный ключ,
,t49,If there is a space above this,Если есть ячейка сверху,
,t50,For each space above this,За каждую ячейку сверху,
,t51,For each space to the right,За каждую ячейку справа,
,t52,For each space to the left,За каждую ячейку слева,
,t53,For each adjacent item,За каждую соседнюю вещь,
,t53s,If there is an adjacent item,Если есть соседняя вещь,
,t54,For each adjacent empty space,За каждую соседнюю пустую ячейку,
,t55,For each adjacent item,За каждую соседнюю вещь,
,t56,When a weapon is used,Когда оружие использовано,
,t57,For each adjacent or diagonal consumable,За каждый соседний или диагональный расходник,
,t58,Each turn for each adjacent gem,Каждый ход за кадлый соседний самоцвет,
,t59,When a weapon kills an enemy,Когда оружие убивает врага,
,t60,When an adjacent weapon is used,Когда соседнее оружие использованно,
,t61,When an adjacent or diagonal item is present,Когда есть соседняя или диагональная вещь,
,t62,For each adjacent accessory,За каждый соседний аксессуар,
,t63,For each adjacent gem,За каждый соседний самоцвет,
,t64,If adjacent to any item,Если сосед с любой вещью,
,t65,If adjacent or diagonal to any item,Если соседнее или диагональное с любой вещью,
,t66,If adjacent or diagonal to armor or a shield,Если соседнее или диагональное с броней или щитом,
,t67,When a diagonal shield is used,Когда диагональный щит использован,
,t68,For each adjacent or diagonal ring,За каждое соседнее или диагональное кольцо,
,t69,For each adjacent or diagonal curse,За каждое соседнее или диагональное проклятие, WARNING: AUTO-TRANSLATION #####################################################
,t70,If you have any armor,Если у вас есть броня, WARNING: AUTO-TRANSLATION #####################################################
,t71,When an adjacent or diagonal manastone is destroyed,Когда соседний или диагональный камень маны уничтожен, WARNING: AUTO-TRANSLATION #####################################################
,t72v,For each consumable in this row,Для каждого расходника в этом ряду, WARNING: AUTO-TRANSLATION #####################################################
,t73,When a shield is used,За каждый камень маны в этом ряду, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,tc1,On play,При розыгрыше, WARNING: AUTO-TRANSLATION #####################################################
,tc2,When any carving is summoned,Когда играется любая Резьба, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,t73,For each manastone in this row,За каждый камень маны в этом ряду, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,t74,For each adjacent consumable,За каждый соседний расходник, WARNING: AUTO-TRANSLATION #####################################################
,t75,For each adjacent fish,За каждую соседнюю рыбу, WARNING: AUTO-TRANSLATION #####################################################
,t76,For each empty space to the right,За каждую пустую ячейку справа, WARNING: AUTO-TRANSLATION #####################################################
,t77,For each empty space in this column,За каждую пустую ячейку в этом столбце, WARNING: AUTO-TRANSLATION #####################################################
,t78,For each manastone above this,За каждый камень маны сверху , WARNING: AUTO-TRANSLATION #####################################################
,t79,For each carving in your discard,За каждую Резьбу в вашем сбросе, WARNING: AUTO-TRANSLATION #####################################################
,t80,When a carving is used,Когда используется Резьба, WARNING: AUTO-TRANSLATION #####################################################
,t81a,For each item along a diagonal line,Для каждого предмета по диагонали, WARNING: AUTO-TRANSLATION #####################################################
,t81,If there is an item along a diagonal line,Если есть предмет вдоль диагональной линии, WARNING: AUTO-TRANSLATION #####################################################
,t82,When an adjacent carving is used,Когда используется соседняя Резьба, WARNING: AUTO-TRANSLATION #####################################################
,t83,When an adjacent shield is used,Когда используется соседний щит, WARNING: AUTO-TRANSLATION #####################################################
,t84,For each space a charge has traveled before using this item,"За каждое место, пройденное зарядом до использования этого предмета", WARNING: AUTO-TRANSLATION #####################################################
,t85,When an adjacent item kills a non-summon enemy,Когда соседний предмет убивает непризванного врага, WARNING: AUTO-TRANSLATION #####################################################
,t86,For each adjacent carving,За каждую соседнюю Резьбу, WARNING: AUTO-TRANSLATION #####################################################
,t87,When a carving is summoned,Когда призывается Резьба, WARNING: AUTO-TRANSLATION #####################################################
,t88,When an adjacent consumable is used,Когда используется соседний расходник, WARNING: AUTO-TRANSLATION #####################################################
,t89,On death,При смерти, WARNING: AUTO-TRANSLATION #####################################################
,t90,When an item is used,Когда предмет используется, WARNING: AUTO-TRANSLATION #####################################################
,t91,When a shield is used,Когда используется щит, WARNING: AUTO-TRANSLATION #####################################################
,,,,
,e1,Deals /x damage,Наносит /x урона,
effects,e2,Hurts! Deals /x damage to self,Наносит /x урона себе,
,e3,Deals /x damage to all enemies,Наносит /x урона всем врагам,
,e4,Deals /x vampirism ,Наносит /x вампиризма, WARNING: ENGLISH TEXT CHANGED #####################################################
,e5,Deals /x vampirism to all enemies,Наносит /x вампиризма всем врагам,
,e6,Removes /x% of all block on self,Убирает /x% защиты на себе,
,e7,Multiplies current block by /x%,Умножает существующюю защиту на /x%,
,e8,Adds /x block,Добовляет /x защиты,
,e9,Adds /x block to enemy,Добовляет /x защиты врагу,
,e10,Adds /x block to all enemies,Добовляет /x защиты всем врагам,
,e11,Removes /x block,Убирает /x% защиты,
,e12,Removes /x block from enemy,Убирает /x% защиты с врага,
,e13,Removes /x block from all enemies,Убирает /x% защиты со всех врагов,
,e14,Heals /x HP,Излечивает /x здоровья,
,e15,Enemy heals /x HP,Враг излечивает /x здоровья,
,e16,All enemies heal /x HP,Все враги излечивают /x здоровья,
,e17,Lose /x HP,Потерять  /x здоровья,
,e18,Enemy loses /x HP,Враг теряет /x здоровья,
,e19,All enemies lose /x HP,Все враги теряют /x здоровья,
,e20,Adds /x energy,Добовляет /x энергии,
,e20d,Removes /x energy,Удаляет /x энергии, WARNING: AUTO-TRANSLATION #####################################################
,e21,Adds /x Max HP,Добовляет /x максимального здоровья,
,e21b,Removes /x Max HP,Удаляет /x максимального здоровья, WARNING: AUTO-TRANSLATION #####################################################
,e22,Adds /x Mana to connected Mana network,Добовляет /x Маны присоедененной Мана-сети,
,e22b,Removes /x Mana from connected Mana network,Удаляет /x маны из подключенной мана-сети, WARNING: AUTO-TRANSLATION #####################################################
,e23,Adds Luck,Дает Удачу,
,e24,Adds Great Luck,Дает Великую Удачу,
,e25,Multiplies all status effects on self by /x%,Умножает статусные эффекты на себе на /x%,
,e26,Multiplies all status effects on enemy by /x%,Умножает статусные эффекты на враге на /x%,
,e27,Multiplies all status effects on all enemies by /x%,Умножает статусные эффекты всех врагов на /x%,
,e28,Removes /x% of all status effects on self,Cнимает все статусные эффекты с себя на /x%,
,e29,Removes /x% of all status effects on enemy,Cнимает все статусные эффекты с врага на /x%,
,e29b,Removes /x from all status effects on enemy,Удаляет /x из всех статусных эффектов на враге, WARNING: AUTO-TRANSLATION #####################################################
,e29c,Removes /x from all status effects on all enemies,Удаляет /x из всех статусных эффектов на всех врагах., WARNING: AUTO-TRANSLATION #####################################################
,e29e,Removes /x from all status effects on everyone,Удаляет /x из всех статусных эффектов для всех, WARNING: AUTO-TRANSLATION #####################################################
,e30,Removes /x% of all status effects on all enemies,Cнимает все статусные эффекты со всех врагов на /x%,
,e31,Adds /x poison to self,Прибавляет тебе /x яда,
,e32,Adds /x regen to self,Дает тебе /x регенерации,
,e33,Adds /x spikes to self,Дает тебе /x шипов,
,e34,Adds /x haste to self,Дает тебе /x ловкости,
,e35,Adds /x slow to self,Дает тебе /x замедления,
,e36,Adds /x rage to self,Дает тебе /x ярости,
,e37,Adds /x weak to self,Дает тебе /x слабости,
,e38,Adds /x dodge to self,Дает тебе /x уклонений,
,e39,Adds /x poison to enemy,Дает врагу /x яда,
,e40,Adds /x regen to enemy,Дает врагу /x регенерации,
,e41,Adds /x spikes to enemy,Дает врагу /x шипов,
,e42,Adds /x haste to enemy,Дает врагу /x ловкости,
,e43,Adds /x slow to enemy,Дает врагу /x замедления,
,e44,Adds /x rage to enemy,Дает врагу /x ярости,
,e45,Adds /x weak to enemy,Дает врагу /x слабости,
,e46,Adds /x dodge to enemy,Дает врагу /x уклонений,
,e46b,Adds /x burn to enemy,Добавляет /x ожог врагу, WARNING: AUTO-TRANSLATION #####################################################
,e47,Adds /x poison to all enemies,Дает всем врагам /x яда,
,e48,Adds /x regen to all enemies,Дает всем врагам /x регенерации,
,e49,Adds /x spikes to all enemies,Дает всем врагам /x шипов,
,e50,Adds /x haste to all enemies,Дает всем врагам /x ловкости,
,e51,Adds /x slow to all enemies,Дает всем врагам /x замедления,
,e52,Adds /x rage to all enemies,Дает всем врагам /x ярости,
,e53,Adds /x weak to all enemies,Дает всем врагам /x слабости,
,e54,Adds /x dodge to all enemies,Дает всем врагам /x уклонений,
,e54b,Adds /x burn to all enemies,Добавляет /x ожог всем врагам, WARNING: AUTO-TRANSLATION #####################################################
,e55,Removes /x poison from self,Cнимает с тебя /x яда,
,e56,Removes /x regen from self,Cнимает с тебя /x регенерации,
,e57,Removes /x spikes from self,Cнимает с тебя /x шипов,
,e58,Removes /x haste from self,Cнимает с тебя /x ловкости,
,e59,Removes /x slow from self,Cнимает с тебя /x замедления,
,e60,Removes /x rage from self,Cнимает с тебя /x ярости,
,e61,Removes /x weak from self,Cнимает с тебя /x слабости,
,e62,Removes /x dodge from self,Cнимает с тебя /x уклонений,
,e63,Removes /x poison from enemy,Cнимает с врага /x яда,
,e64,Removes /x regen from enemy,Cнимает с врага /x регенерации,
,e65,Removes /x spikes from enemy,Cнимает с врага /x шипов,
,e66,Removes /x haste from enemy,Cнимает с врага /x ловкости,
,e67,Removes /x slow from enemy,Cнимает с врага /x замедления,
,e68,Removes /x rage from enemy,Cнимает с врага /x ярости,
,e69,Removes /x weak from enemy,Cнимает с врага /x слабости,
,e70,Removes /x dodge from enemy,Cнимает с врага /x уклонений,
,e71,Removes /x poison from all enemies,Cнимает со всех врагов /x яда,
,e72,Removes /x regen from all enemies,Cнимает со всех врагов /x регенерации,
,e73,Removes /x spikes from all enemies,Cнимает со всех врагов /x шипов,
,e74,Removes /x haste from all enemies,Cнимает со всех врагов /x ловкости,
,e75,Removes /x slow from all enemies,Cнимает со всех врагов /x замедления,
,e76,Removes /x rage from all enemies,Cнимает со всех врагов /x ярости,
,e77,Removes /x weak from all enemies,Cнимает со всех врагов /x слабости,
,e78,Removes /x dodge from all enemies,Cнимает со всех врагов /x уклонений,
,e79,Multiplies poison on self by /x%,Умножает яд на /x% на себе,
,e80,Multiplies regen on self by /x%,Умножает регенерацию на /x% на себе,
,e81,Multiplies spikes on self by /x%,Умножает шипы на /x% на себе,
,e82,Multiplies haste to self by /x%,Умножает ловкость на /x% на себе,
,e83,Multiplies slow to self by /x%,Умножает замедление на /x% на себе,
,e84,Multiplies rage to self by /x%,Умножает ярость на /x% на себе,
,e85,Multiplies weak to self by /x%,Умножает слабость на /x% на себе,
,e86,Multiplies dodge to self by /x%,Умножает уклонения на /x% на себе,
,e87,Multiplies poison to enemy by /x%,Умножает врагу яд на /x%,
,e88,Multiplies regen to enemy by /x%,Умножает врагу регенерацию на /x%,
,e89,Multiplies spikes to enemy by /x%,Умножает врагу шипы на /x%,
,e90,Multiplies haste to enemy by /x%,Умножает врагу ловкость на /x%,
,e91,Multiplies slow to enemy by /x%,Умножает врагу замедление на /x%,
,e92,Multiplies rage to enemy by /x%,Умножает врагу ярость на /x%,
,e93,Multiplies weak to enemy by /x%,Умножает врагу слабость на /x%,
,e94,Multiplies dodge to enemy by /x%,Умножает врагу уклонения на /x%,
,e95,Multiplies poison to all enemeies by /x%,Умножает всем врагам яд на /x%,
,e96,Multiplies regen to all enemies by /x%,Умножает всем врагам регенерацию на /x%,
,e97,Multiplies spikes to all enemies by /x%,Умножает всем врагам шипы на /x%,
,e98,Multiplies haste to all enemies by /x%,Умножает всем врагам ловкость на /x%,
,e99,Multiplies slow to all enemies by /x%,Умножает всем врагам замедление на /x%,
,e100,Multiplies rage to all enemies by /x%,Умножает всем врагам ярость на /x%,
,e101,Multiplies weak to all enemies by /x%,Умножает всем врагам слабость на /x%,
,e102,Multiplies dodge to all enemies by /x%,Умножает всем врагам уклонения на /x%,
,e103,Removes /x% poison from self,Cнимает с тебя /x% яда,
,e104,Removes /x% regen from self,Cнимает с тебя /x% регенерации,
,e105,Removes /x% spikes from self,Cнимает с тебя /x% шипов,
,e106,Removes /x% haste from self,Cнимает с тебя /x% ловкости,
,e107,Removes /x% slow from self,Cнимает с тебя /x% замедления,
,e108,Removes /x% rage from self,Cнимает с тебя /x% ярости,
,e109,Removes /x% weak from self,Cнимает с тебя /x% слабости,
,e110,Removes /x% dodge from self,Cнимает с тебя /x% уклонений,
,e111,Removes /x% poison from enemy,Cнимает с врага /x% яда,
,e112,Removes /x% regen from enemy,Cнимает с врага /x% регенерации,
,e113,Removes /x% spikes from enemy,Cнимает с врага /x% шипов,
,e114,Removes /x% haste from enemy,Cнимает с врага /x% ловкости,
,e115,Removes /x% slow from enemy,Cнимает с врага /x% замедления,
,e116,Removes /x% rage from enemy,Cнимает с врага /x% ярости,
,e117,Removes /x% weak from enemy,Cнимает с врага /x% слабости,
,e118,Removes /x% dodge from enemy,Cнимает с врага /x% уклонений,
,e119,Removes /x% poison from all enemies,Cнимает со всех врагов /x% яда,
,e120,Removes /x% regen from all enemies,Cнимает со всех врагов /x% регенерации,
,e121,Removes /x% spikes from all enemies,Cнимает со всех врагов /x% шипов,
,e122,Removes /x% haste from all enemies,Cнимает со всех врагов /x% ловкости,
,e123,Removes /x% slow from all enemies,Cнимает со всех врагов /x% замедления,
,e124,Removes /x% rage from all enemies,Cнимает со всех врагов /x% ярости,
,e125,Removes /x% weak from all enemies,Cнимает со всех врагов /x% слабости,
,e126,Removes /x% dodge from all enemies,Cнимает со всех врагов /x% уклонений,
,e127,Adds /x damage to Scratch,Добавляет /x урона царапанью,
,e128,Draw /x carvings,Нарисовать /x Резьбы, WARNING: AUTO-TRANSLATION #####################################################
,e129,Adds /x tough hide to enemy,Добавляет /x Грубой шкуры врагу, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,,,,
create effects,ceg,Creates /x gold,Создаёт /x золота,
,cec,Creates a curse,Создаёт проклятие,
,ce1,Creates an Ethereal Arrow in this column,Создает Эфирную Стрелу в этой колонке,
,ce2,Creates an Ethereal Shiv in this row,Создает Эфирный Кинжал в этом ряду,
,ce3,Creates Ethereal Energy in this column,Создает Эфирную Энергию в этой колонке,
,ce4,Creates a fish in an adjacent space,Создает рыбу в соседней ячейке,
,ce5,Creates any item,Создаёт случайный предмет,
,ce6,Creates /x gold,Создает /x золота,
,ce7,Creates a drink in this row,Создает напиток в этом ряду,
,ce8,Creates a potion in this row,Создает зелье в этом ряду,
,ce9,Creates an herb in this row,Создает растение в этом ряду,
,ce10,Creates a gem,Создает самоцвет,
,ce11,Another Slime Sword will be created at the end of combat,Другой Слаймовый Меч будет создан в конце сражение,
,ce12,Creates something really good… or a horrible curse,Создаёт что-то очень хорошее... или ужасное проклятие,
,ce13,Replaced by an Ethereal Blade,Заменяется Эфирным Клинком,
,ce14,Replaced by Blade Summoner,Заменяется Призывателем Клинков,
,ce15,Replaced with an Empty Cup,Заменяется Пустой Чашкой,
,ce16,Replaced by Illusory Blade,Заменено Иллюзорным Клинком, WARNING: AUTO-TRANSLATION #####################################################
,ce17,Replaced by Illusory Duct Tape,Заменено Иллюзорной Клейкой Лентой, WARNING: AUTO-TRANSLATION #####################################################
,ce18,Creates a brick in this row,Создает кирпич в этом ряду, WARNING: AUTO-TRANSLATION #####################################################
,ce19,Creates a Rocket in this column,Создает Ракету в этом столбце, WARNING: AUTO-TRANSLATION #####################################################
Movement effects,me1,turns clockwise,Поворачивается по часовой,
,me2,turns around,Разворочачивается,
,me3,turns counter-clockwise,Поворачивается против часовой,
,me4,moves forward until stopped,двигаться вперед до остановки,
,me5,moves forward one space,двигаться вперед на одну ячейку,
,me6,moves up one space,двигается вверх на одну ячейку,
Add Modifiers,,,,
,amApplied,From /x,От /x,
,am1,All weapons get this effect applied,Всё оружие получает этот эффект,
,am2,All shields get this effect applied,Все щиты получают этот эффект,
,am3,All wands get this effect applied,Все палочки получают этот эффект,
,am4,All bows get this effect applied,Все луки получают данный эффект,
,am5,All arrows get this effect applied,Все стрелы получают данный эффект,
,am6,The item between the wings gets this effect applied,Этот эффект применяется к предмету между крыльями., WARNING: AUTO-TRANSLATION #####################################################
,am7,Weapons in this column get this effect applied this combat,Оружие в этой колонке получает этот эффект в этом бою., WARNING: AUTO-TRANSLATION #####################################################
,am8,Adjacent weapons get this effect applied,Этот эффект применяется к соседнему оружию., WARNING: AUTO-TRANSLATION #####################################################
,am9,All armor gets this effect applied,Этот эффект применяется ко всей броне., WARNING: AUTO-TRANSLATION #####################################################
,am10,All manastones get this effect applied,Этот эффект применяется ко всем манакамням., WARNING: AUTO-TRANSLATION #####################################################
item status effects,is1,This item is disabled,Эта вещь недоступна,
,is2,This item is a projectile,Этот предмет является снарядом,
,is2b,Projectile,Снаряд, WARNING: AUTO-TRANSLATION #####################################################
,is2bd,Projectile attacks do not cause damage from spikes,Атаки снарядами не вызывают получение урона от шипов, WARNING: AUTO-TRANSLATION #####################################################
,is3,This item is anchored,Этот предмет зафисирован,
,is3b,Anchored,Зафиксировано, WARNING: AUTO-TRANSLATION #####################################################
,is3bd,Anchored items cannot be moved,Зафиксированные предметы нельзя перемещать, WARNING: AUTO-TRANSLATION #####################################################
,is4,This item is enflamed,Этот предмет в огне,
,is5,Conductive,Проводящий,
,is5d,Magic items get mana from manastones that are adjacent or connected through conductive items,"Магические предметы получают ману из камней маны, которые расположены рядом или соединены проводящими предметами.", WARNING: AUTO-TRANSLATION #####################################################
,is6,This item is heavy,Этот предмет тяжелый,
,is6b,heavy,тяжелый, WARNING: AUTO-TRANSLATION #####################################################
